File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
all_data,Nearest Neighbors,0.9676286631257849,0.9475099299228052,0.9349620477775259,0.9410887640664357,743.181706905365
all_data,Nearest Neighbors,0.9676286631257849,0.9475099299228052,0.9349620477775259,0.9410887640664357,758.9464814662933
all_data,Nearest Neighbors,0.9676286631257849,0.9475099299228052,0.9349620477775259,0.9410887640664357,762.3727195262909
all_data,Nearest Neighbors,0.9676286631257849,0.9475099299228052,0.9349620477775259,0.9410887640664357,745.0890960693359
all_data,Nearest Neighbors,0.9676286631257849,0.9475099299228052,0.9349620477775259,0.9410887640664357,718.6593759059906
all_data,Nearest Neighbors,0.9676286631257849,0.9475099299228052,0.9349620477775259,0.9410887640664357,718.1907567977905
all_data,Nearest Neighbors,0.9676286631257849,0.9475099299228052,0.9349620477775259,0.9410887640664357,710.751494884491
all_data,Nearest Neighbors,0.9676286631257849,0.9475099299228052,0.9349620477775259,0.9410887640664357,650.3193099498749
all_data,Nearest Neighbors,0.9676286631257849,0.9475099299228052,0.9349620477775259,0.9410887640664357,689.0208187103271
all_data,Nearest Neighbors,0.9676286631257849,0.9475099299228052,0.9349620477775259,0.9410887640664357,743.648054599762
